label,position,start time,end time,description,link
הפיראט האדום,"32.0228009, 34.861666",2020-02-23T18:00:00+02:00,2020-02-24T00:00:00+02:00,מקום ביקור של הישראלי ששב מאיטליה,
הפיראט האדום,"32.0228009, 34.861666",2020-02-24T08:30:00+02:00,2020-02-25T00:00:00+02:00,מקום ביקור של הישראלי ששב מאיטליה,
הפיראט האדום,"32.0228009, 34.861666",2020-02-25T08:30:00+02:00,2020-02-26T00:00:00+02:00,מקום ביקור של הישראלי ששב מאיטליה,
בית כנסת אירוס,"31.9306892,34.7765856",2020-02-24T06:00:00+02:00,2020-02-24T07:00:00+02:00,מקום ביקור של הישראלי ששב מאיטליה,
